actor,category,field_key,label,type,required,description,example,options,upload
CLIENT_SME,Company,legal_name,Legal Entity Name,string,True,Registered legal name,Echosystem Technologies SAS,,False
CLIENT_SME,Company,trade_name,Trade Name / DBA,string,False,Commercial name,Echotechnology,,False
CLIENT_SME,Company,legal_form,Legal Form,enum,True,Entity type,SAS,SAS|LLC|C-Corp|S-Corp|GmbH|Ltd|PLC|Sole Proprietorship|Partnership,False
CLIENT_SME,Company,registration_number,Registration / Company Number,string,True,Company registry number,901797152-1,,False
CLIENT_SME,Company,tax_id,Tax ID / VAT / NIT / EIN,string,True,Primary tax identifier,NIT 901797152-1,,False
CLIENT_SME,Company,incorporation_date,Date of Incorporation,date,True,YYYY-MM-DD,2021-04-15,,False
CLIENT_SME,Company,country,Country,enum,True,ISO 3166-1 alpha-2,CO,US|CO|MX|BR|CL|GB|SG|HK|DE|FR|ES,False
CLIENT_SME,Company,state_province,State / Province,string,False,Optional region/state,Valle del Cauca,,False
CLIENT_SME,Company,city,City,string,True,City of registration,Cali,,False
CLIENT_SME,Company,address_line1,Address Line 1,string,True,Street + number,"Zona América Tower 1, Oficina 401",,False
CLIENT_SME,Company,address_line2,Address Line 2,string,False,Suite/floor/optional,Parque Industrial,,False
CLIENT_SME,Company,postal_code,Postal Code / ZIP,string,False,ZIP or postal code,760032,,False
CLIENT_SME,Company,website,Website,url,False,Official website (https),https://echotechnology.xyz,,False
CLIENT_SME,Company,industry_code,Industry / NAICS Code,string,True,Industry classification,541511,,False
CLIENT_SME,Company,employees_count,Number of Employees,integer,False,Headcount,12,,False
CLIENT_SME,Company,business_description,Business Description,string,True,"Core business, max 500 chars",Blockchain treasury & OTC services,,False
CLIENT_SME,Contacts,primary_email,Primary Contact Email,email,True,Main onboarding contact,ops@convexo.xyz,,False
CLIENT_SME,Contacts,primary_phone,Primary Contact Phone,phone,True,E.164 format,+573152812505,,False
CLIENT_SME,Contacts,support_email,Support / Finance Email,email,False,For AP/AR notices,finance@convexo.xyz,,False
CLIENT_SME,Representative,rep_full_name,Full Name,string,True,Legal representative full name,William Martinez,,False
CLIENT_SME,Representative,rep_role,Role / Title,string,True,"Position (CEO, CFO, etc.)",CEO,,False
